VPS33A,VPS8
VPS33A,STX12
VPS33A,RAB7A
VPS33A,VTI1A
VPS33A,YKT6
MSLN,MUC16
MSLN,HLA-DRB1
MSLN,PSCA
MSLN,MUC1
MSLN,FOLR1
MSLN,CEACAM5
MSLN,CALB2
MSLN,ERBB2
MSLN,WT1
MSLN,TNFRSF9
CCDC99,BUB1B
CCDC99,SKA3
CCDC99,SKA1
CCDC99,CENPF
CCDC99,NDC80
CCDC99,BUB1
CCDC99,ZWILCH
CCDC99,SKA2
CCDC99,CCNB1
CCDC99,BOD1
CLP1,PCF11
CLP1,TSEN15
CLP1,CSTF2
CLP1,CPSF1
CLP1,CSTF3
CLP1,TSEN2
CLP1,CPSF3
CLP1,CPSF4
CLP1,CSTF2T
CLP1,TSEN54
ABCB7,FECH
ABCB7,NUBP1
ABCB7,NUBP2
ABCB7,GLRX5
ABCB7,HSCB
ABCB7,FXN
ABCB7,NFS1
ABCB7,ISCU
ABCB7,ISCA1
ABCB7,NFU1
SPTLC1,SPTSSA
SPTLC1,SPTSSB
SPTLC1,SPTLC2
SPTLC1,SPTLC3
SPTLC1,ORMDL3
SPTLC1,KDSR
SPTLC1,ORMDL1
SPTLC1,ZDHHC9
SPTLC1,GOLGA7
SPTLC1,ORMDL2
RAB22A,RABGEF1
RAB22A,ZFYVE20
RAB22A,RAB31
RAB22A,APPL2
RAB22A,EEA1
RAB22A,RAD51AP1
RAB22A,REP15
RAB22A,TBC1D10B
RAB22A,TBC1D10A
RAB22A,EHD2
MYH4,MYL1
MYH4,MYLPF
MYH4,MYL6B
MYH4,MYL9
MYH4,MYL5
MYH4,MYL3
MYH4,MYL12B
MYH4,TPM1
MYH4,ACTN2
MYH4,MYL12A
APH1B,NCSTN
APH1B,PSENEN
APH1B,PSEN1
APH1B,PSEN2
APH1B,APP
APH1B,NOTCH1
APH1B,DLL1
APH1B,NOTCH3
APH1B,NOTCH2
APH1B,ERBB4
IFT20,IFT57
IFT20,TRIP11
IFT20,IFT88
IFT20,TRAF3IP1
IFT20,IFT172
IFT20,IFT52
IFT20,IFT140
IFT20,IFT80
IFT20,IFT81
IFT20,IFT74
SFMBT1,KDM1A
SFMBT1,PSMB8
SFMBT1,CNDP2
SFMBT1,PSMB9
SFMBT1,HIST2H3PS2
SFMBT1,RCOR1
SFMBT1,TMEM171
SFMBT1,TIMM17A
SFMBT1,CA1
SFMBT1,HMG20A
RFC2,CHTF18
RFC2,ATAD5
RFC2,PCNA
RFC2,RFC3
RFC2,RFC1
RFC2,RFC4
RFC2,RFC5
RFC2,RAD17
RFC2,DSCC1
RFC2,RPA1
EIF3D,EIF3E
EIF3D,EIF3K
EIF3D,EIF3G
EIF3D,EIF3C
EIF3D,EIF3B
EIF3D,EIF3A
EIF3D,EIF3I
EIF3D,EIF3H
EIF3D,EIF3F
EIF3D,EIF3M
GSR,GPX2
GSR,GPX1
GSR,GPX4
GSR,GPX7
GSR,GPX3
GSR,GSS
GSR,CAT
GSR,GLRX
GSR,TXN
GSR,GGT1
GPSM1,GNAI3
GPSM1,GNAI1
GPSM1,INSC
GPSM1,GNAI2
GPSM1,NUMA1
GPSM1,GNAO1
GPSM1,PARD3B
GPSM1,RGS12
GPSM1,DLG4
GPSM1,RIC8A
CECR2,SMARCA5
CECR2,SMARCA1
CECR2,BPTF
CECR2,BAZ1A
CECR2,RBBP4
CECR2,HMGXB4
CECR2,C17orf49
CECR2,MAP1S
CECR2,RSF1
CECR2,HEBP2
SMARCE1,SMARCC1
SMARCE1,SMARCB1
SMARCE1,SMARCA2
SMARCE1,SMARCC2
SMARCE1,ARID1A
SMARCE1,SMARCD1
SMARCE1,SMARCA4
SMARCE1,ACTL6A
SMARCE1,SMARCD3
SMARCE1,SMARCD2
ATP7B,ATOX1
ATP7B,COMMD1
ATP7B,CP
ATP7B,SLC31A1
ATP7B,SLC31A2
ATP7B,CCS
